task_id,topic_id,topic_label,representative_doc
1215185759387529,0,client_person_llc_id,"fix name and distribution in for accolade [client] iv, lp and upload [client] i distribution to [person] and push to [person] [client] iv, lp – 06/25/25 [client] distribution $105,634.06 – correct inv"
1215152897759629,0,client_person_llc_id,"fix name and distribution in for accolade [client] iv, lp and upload [client] i distribution to [person] and push to [person] [client] iv, lp – 06/25/25 [client] distribution $105,634.06 – correct inv"
1215182094399391,0,client_person_llc_id,"fix name and distribution in for accolade [client] iv, lp and upload [client] i distribution to [person] and push to [person] [client] iv, lp – 06/25/25 [client] distribution $105,634.06 – correct inv"
1215180389706201,0,client_person_llc_id,"fix name and distribution in for accolade [client] iv, lp and upload [client] i distribution to [person] and push to [person] [client] iv, lp – 06/25/25 [client] distribution $105,634.06 – correct inv"
1215173880971150,0,client_person_llc_id,"fix name and distribution in for accolade [client] iv, lp and upload [client] i distribution to [person] and push to [person] [client] iv, lp – 06/25/25 [client] distribution $105,634.06 – correct inv"
1215180179450275,0,client_person_llc_id,"fix name and distribution in for accolade [client] iv, lp and upload [client] i distribution to [person] and push to [person] [client] iv, lp – 06/25/25 [client] distribution $105,634.06 – correct inv"
1215179106480450,0,client_person_llc_id,"fix name and distribution in for accolade [client] iv, lp and upload [client] i distribution to [person] and push to [person] [client] iv, lp – 06/25/25 [client] distribution $105,634.06 – correct inv"
1215178219876321,0,client_person_llc_id,"fix name and distribution in for accolade [client] iv, lp and upload [client] i distribution to [person] and push to [person] [client] iv, lp – 06/25/25 [client] distribution $105,634.06 – correct inv"
1215152485414425,0,client_person_llc_id,"fix name and distribution in for accolade [client] iv, lp and upload [client] i distribution to [person] and push to [person] [client] iv, lp – 06/25/25 [client] distribution $105,634.06 – correct inv"
1215171722141203,0,client_person_llc_id,"fix name and distribution in for accolade [client] iv, lp and upload [client] i distribution to [person] and push to [person] [client] iv, lp – 06/25/25 [client] distribution $105,634.06 – correct inv"
1215171658549917,0,client_person_llc_id,"fix name and distribution in for accolade [client] iv, lp and upload [client] i distribution to [person] and push to [person] [client] iv, lp – 06/25/25 [client] distribution $105,634.06 – correct inv"
1213365551083396,0,client_person_llc_id,"fix name and distribution in for accolade [client] iv, lp and upload [client] i distribution to [person] and push to [person] [client] iv, lp – 06/25/25 [client] distribution $105,634.06 – correct inv"
1215135664087151,0,client_person_llc_id,"fix name and distribution in for accolade [client] iv, lp and upload [client] i distribution to [person] and push to [person] [client] iv, lp – 06/25/25 [client] distribution $105,634.06 – correct inv"
1215135664087114,0,client_person_llc_id,"fix name and distribution in for accolade [client] iv, lp and upload [client] i distribution to [person] and push to [person] [client] iv, lp – 06/25/25 [client] distribution $105,634.06 – correct inv"
