task_id,text,proposed_class,confidence,avg_similarity,flag
1214068138663264,"quantor core fund, lp | investor account statement for march 2026 | [person] 2007 trust",New Account Onboarding,0.2857142857142857,0.64858794,AUTO
1213962500547506,: unit verification failures due to firm user edit,New Account Onboarding,0.42857142857142855,0.52881986,AUTO
1213266878099214,cherry family drop update,New Private Investment Setup,0.42857142857142855,0.42087913,AUTO
1214061627948653,"general updates please update the contributions and distributions for the investment in for tellepsen, as outlined below (password",New Private Investment Setup,0.42857142857142855,0.6671316,AUTO
1205538026541893,check in on mortgage values with [person] and [person],Contact & User Updates,0.7142857142857143,0.57381976,AUTO
1214920733753629,"general updates please review the attached screenshot below for christopher milisci qualified trust, as [person] at ccp needs help",New Account Onboarding,0.42857142857142855,0.6260943,AUTO
1214849290552085,"snipes household report revisions 05.15.26 high priority
[person] tax account – cash: was never zeroed out after live links turned",Security & Position Updates,0.42857142857142855,0.6235125,AUTO
1211979900165214,follow up with [person] and [person] re: email i sent them last wednesday [person] sent to lenny & charles below for reference: go,Recurring Data Maintenance & Audits,0.42857142857142855,0.6968395,AUTO
1215181996468061,frost brokerage statement,Recurring Data Maintenance & Audits,0.42857142857142855,0.6338975,AUTO
1207979344458140,send [person] [client] mortgage statements,Distribution & Income Recording,0.42857142857142855,0.5737281,AUTO
1214979150436511,please process the 5 files linked in the task description below please see attached below the 5 files [person] provided for proces,New Account Onboarding,0.5714285714285714,0.58778095,AUTO
1214985124244243,"general updates per , for cherry, theadams street alternative investment should be flowing through but she noticed that the transa",Missing Data & Attributes,0.7142857142857143,0.68449605,AUTO
1214978974007079,"please process the etrade statement linked in the task description below please process the etrade statement provided by [person],",Unclassified (Topic 20),0.14285714285714285,0.591992,AUTO
1214052159835054,"please process the valuation updates shown within the two files included in the task below please process the , banco acct# 8702, ",Commitment & Capital Call Tracking,0.42857142857142855,0.63762146,AUTO
1212708640851858,"update items please reference the ""2026.01.06 revtrust ownership "" excel provided by [person] from aaa to view updates that are ne",Ownership & Trust Structure,0.5714285714285714,0.7420105,AUTO
1214586846736789,[client] - manual asset updates q1 2026 key actions required: 1. download correct file: v5.5.26 datestamp from (ignore 4.30.26 fil,Security & Position Updates,0.2857142857142857,0.69605404,AUTO
1214309728553417,"general updates please revise and update the private investments in the account x9506 for [person]. per , the commitment and total",Commitment & Capital Call Tracking,0.2857142857142857,0.7049335,AUTO
1213920134183489,please investigate where the $0 12/31/2025 valuation transaction for stolar [client] 29 (stonegate) [ [id] ] please investigate wh,Position Cleanup & Deduplication,0.2857142857142857,0.5102889,AUTO
1213998825442134,"general updates please verify if the investments in yellow were linked for performance for [person] as outlined below by [person]
",Missing Data & Attributes,0.42857142857142855,0.604471,AUTO
1214138725283314,dcf reconciliation - ccp,Missing Data & Attributes,0.5714285714285714,0.5701712,AUTO
1214079549751631,please add entity id and direct owner ids and security name to this spreadsheet please use this excel extract (see link above) fro,Commitment & Capital Call Tracking,0.42857142857142855,0.58628774,AUTO
1214048057545386,latest batch of 5 updates,Client Report & View Management,0.5714285714285714,0.3992504,AUTO
1213972391893430,"please update [person] to reflect an additional, pari-passu investment in dfi by the family, which should be dated march 31, 2026 ",Missing Data & Attributes,0.42857142857142855,0.6739672,AUTO
1213890417356989,: unit verification failures due to firm user edits,New Account Onboarding,0.42857142857142855,0.52167344,AUTO
1213730767354433,coreshell - series b - update,Missing Data & Attributes,0.5714285714285714,0.3520263,AUTO
1213720603620067,"please hide ""gdo, lp"" under [client] 2003 gift trust (xxxxx7000) in please hide this security in so it's no longer visible:",Position Cleanup & Deduplication,0.42857142857142855,0.6039533,AUTO
1213561965923572,"please fix the for jpd crut ii (tpl) shown in the view linked in the task description, using the statement provided by [person] re",Missing Data & Attributes,0.42857142857142855,0.40406537,AUTO
1213334714616879,"general updates please update the values of the central park investments under the [person], as noted by . see the latest statemen",New Account Onboarding,0.42857142857142855,0.6801126,AUTO
1213385281047178,please investigate incorrect cash flow (see description below) hi i saw there was a transaction loaded in by sugam for this deal. ,Position Cleanup & Deduplication,0.2857142857142857,0.5470727,AUTO
1213383556560167,"general updates [person], general updates [person] [email] general updates please correct all addresses in to 2727 [person]. i dra",New Account Onboarding,0.42857142857142855,0.5730481,AUTO
1211795715695100,"please make the updates as outlined in the email from [person] to [person], referencing attachments provided please reference the ",Missing Data & Attributes,0.5714285714285714,0.66732895,AUTO
1212950893095891,"please update the below to be in line with the k-1, and moved from 2013 lllp to jmd 1998 irrevocable. please update the below to b",Distribution & Income Recording,0.42857142857142855,0.5761523,AUTO
1212909778338932,"please verify that you're able to see that [person] funded his crut with a transfer of 14,926 tpl shares (shown in [person] form n",Debt & Lending Instruments,0.2857142857142857,0.5995672,AUTO
1212844968182449,"please include $1,200,000 as estimated tax (attribute) as of 1/15 for kevin 2007 trust no. 2 i have a custom attribute in called '",Missing Data & Attributes,0.2857142857142857,0.48993206,AUTO
1212840690205420,"please update nona master development llc (sold for 4m even on december 31, 2025) meeting with dfo today and [employee] 's instruc",Missing Data & Attributes,0.42857142857142855,0.64703053,AUTO
1212828324436657,"general updates [person], general updates [person]

 [email] 

general updates

team, the cells in yellow i highlighted are not ri",Missing Data & Attributes,0.5714285714285714,0.60727644,AUTO
1211910490512831,"please update anything directly owned by gab in , to [person] [client] trust, as of 02/23/2024 (gab's date of death as transfer ou",Ownership & Trust Structure,0.5714285714285714,0.579074,AUTO
1212323360901948,please create tax loss harvesting report for [person] create the request [person] report for [client] per renees specifications in,Recurring Data Maintenance & Audits,0.2857142857142857,0.57191384,AUTO
1212271858642043,"payment notification from update technologies, inc.",Invoicing & Billing,0.2857142857142857,0.5177008,AUTO
